Episode,Film or episode title,Guest(s),Release date,live?
1,Burlesque,Nick Kroll,"December 21, 2010",
2,Season of the Witch,Chris Hardwick,"January 10, 2011",
3,Old Dogs,Casey Wilson,"January 26, 2011",
4,The Last Airbender,Jon Daly,"February 14, 2011",
5,Drive Angry,Curtis Gwinn,"March 1, 2011",
6,Battlefield Earth,Rob Huebel,"March 15, 2011",
7,All About Steve,Brandon Johnson,"April 5, 2011",
8,Sucker Punch,Chelsea Peretti,"April 18, 2011",
9,Fast Five,Adam Scott,"May 15, 2011",
10,Mac and Me,Adam Pally,"May 16, 2011",
11,The Tourist,Gil Ozeri,"May 30, 2011",
11,The Tourist,Natasha Leggero,"May 30, 2011",
12,The Love Guru,Matt Walsh,"June 14, 2011",
13,Crank 2: High Voltage,Jensen Karp,"June 28, 2011",
14,Green Lantern,Paul Rust,"July 12, 2011",
15,The Back-up Plan,Jackie Clarke,"July 26, 2011",
16,The Smurfs,Paul F. Tompkins,"August 9, 2011",
17,Skyline,Jordan Morris,"August 23, 2011",
18,Gigli,Danielle Schneider,"September 13, 2011",
19,The Wicker Man,Jonah Ray,"September 27, 2011",
20,Punisher: War Zone,Patton Oswalt,"October 3, 2011",
20,Punisher: War Zone,Lexi Alexander,"October 3, 2011",
21,I Know Who Killed Me,Ken Marino,"October 18, 2011",
22,Leprechaun: In the Hood,Kumail Nanjiani,"November 1, 2011",
23,The Room,Greg Sestero,"November 15, 2011",
23,The Room,Steve Heisler,"November 15, 2011",
24,Superman III,Damon Lindelof,"November 29, 2011",Live episode
25,Catwoman,Jamie Denbo,"December 20, 2011",
26,Jingle All the Way,Joe Mande,"December 22, 2011",
27,The Twilight Saga: Breaking Dawn – Part 1,Doug Benson,"January 3, 2012",
28,Crank,Brian Taylor,"January 17, 2012",
29,Trespass,Rachael Harris,"January 31, 2012",
30,Cool as Ice,Vanilla Ice,"February 14, 2012",
30,Cool as Ice,Brian Huskey,"February 14, 2012",
31,Birdemic: Shock and Terror,Weird Al Yankovic,"February 28, 2012",Live episode
31,Birdemic: Shock and Terror,Whitney Moore,"February 28, 2012",Live episode
32,88 Minutes,Pete Holmes,"March 13, 2012",
33,Abduction,Jessica Chaffin,"March 27, 2012",
34,The Adventures of Pluto Nash,Lennon Parham,"April 10, 2012",
34,The Adventures of Pluto Nash,Jessica St. Clair,"April 10, 2012",
35,Tiptoes,Dave Holmes,"May 1, 2012",
36,On the Line,Ike Barinholtz,"May 15, 2012",
37,Speed 2: Cruise Control,Scott Aukerman,"June 5, 2012",
38,Bad Ass,Danny Trejo,"June 12, 2012",
39,Godzilla,Chris Gore,"June 19, 2012",
40,Judge Dredd,Erica Oyama,"July 3, 2012",
41,Spider-Man 3,Kulap Vilaysack,"July 17, 2012",
42,Batman & Robin,Matt Mira,"August 7, 2012",
42,Batman & Robin,Jesse Falcon,"August 7, 2012",
43,Wild Wild West,Kevin Smith,"August 21, 2012",
44,Jaws 4: The Revenge,Jake Fogelnest,"September 4, 2012",
45,Road House,Doug Benson,"September 18, 2012",Live episode
46,Barb Wire,Jesse Thorn,"October 2, 2012",
47,Super Mario Bros.,Jenny Slate,"October 16, 2012",Live episode
48,Sleepaway Camp,Zack Pearlman,"October 30, 2012",
49,Cobra,Brian Posehn,"November 13, 2012",Live episode
49,Cobra,Rhett Miller,"November 13, 2012",Live episode
50,The Twilight Saga: Breaking Dawn – Part 2,Doug Benson,"November 27, 2012",
51,Liz & Dick,Drew Droege,"December 11, 2012",
52,Reindeer Games,Howard Kremer,"December 25, 2012",
53,Anaconda,Michael Ian Black,"January 8, 2013",Live episode
54,The Odd Life of Timothy Green,Tim Heidecker,"January 22, 2013",
55,The Devil's Advocate,Julie Klausner,"February 5, 2013",Live episode
56,Nothing But Trouble,Stephen Rannazzisi,"February 19, 2013",
57,From Justin to Kelly,Nick Kroll,"March 5, 2013",Live episode
58,In the Name of the King,Seth Morris,"March 19, 2013",
59,Spice World,Retta,"April 2, 2013",
60,Street Fighter,John Gemberling,"April 16, 2013",
61,Stop! Or My Mom Will Shoot,Kate Spencer,"April 30, 2013",
62,Joyful Noise,Fred Stoller,"May 14, 2013",
63,Fast & Furious 6,Adam Scott,"May 28, 2013",
64,After Earth,Paul F. Tompkins,"June 11, 2013",
65,Howard the Duck,Kristen Schaal,"June 25, 2013",Live episode
66,Demolition Man,Wyatt Cenac,"July 9, 2013",Live episode
67,Sharknado,Scott Aukerman,"July 16, 2013",
68,Over The Top,Bobby Moynihan,"July 30, 2013",Live episode
69,Crocodile Dundee in Los Angeles,Eddie Pepitone,"August 13, 2013",
69,Crocodile Dundee in Los Angeles,Matthew Berry,"August 13, 2013",
70,Gymkata,Michael Showalter,"August 27, 2013",Live episode
71,The Glimmer Man,Jon Lajoie,"September 10, 2013",
72,Toys,Drew McWeeny,"September 24, 2013",
73,Congo,Nick Wiger,"October 9, 2013",
74,Halloween III: Season of the Witch,—,"October 22, 2013",
75,Daredevil,Ed Brubaker,"November 5, 2013",
76,Fair Game,Danny Zuker,"November 19, 2013",
77,Hudson Hawk,Emily V. Gordon,"December 3, 2013",
78,Crossroads,Jeff Rubin,"December 17, 2013",
79,Deck the Halls,Andrea Savage,"December 31, 2013",Live episode
80,Jack Frost,Dan Harmon,"January 14, 2014",Live episode
81,Mortal Kombat,Cameron Esposito,"January 28, 2014",
82,Double Team,Owen Burke,"February 11, 2014",
83,Winter's Tale,Andy Daly,"February 25, 2014",
84,No Holds Barred,Thomas Lennon,"March 25, 2014",Live episode
85,Color of Night,Amy Schumer,"April 22, 2014",
86,Ernest Goes to Jail,Lesley Arfin,"May 20, 2014",
87,Easy Rider: The Ride Back,Nick Thune,"June 17, 2014",
88,Mr. Nanny,Rob Corddry,"July 8, 2014",Live episode
89,Gooby,Nathan Fielder,"July 22, 2014",
90,Sharknado 2: The Second One,Scott Aukerman,"August 1, 2014",
91,The 1st Annual Howdies Part 1,—,"August 19, 2014",
92,The 1st Annual Howdies Part 2,—,"August 26, 2014",
93,Staying Alive,Katie Dippold,"September 9, 2014",Live episode
94,Glitter,Adam Scott,"September 23, 2014",Live episode
94,Glitter,Casey Wilson,"September 23, 2014",Live episode
94,Glitter,Dan Levy,"September 23, 2014",Live episode
95,Temptation: Confessions of a Marriage Counselor,Katie Aselton,"October 8, 2014",
96,Monkey Shines,—,"October 29, 2014",
97,Rhinestone,Matt L. Jones,"November 7, 2014",Live episode
98,LOL,Rob Huebel,"November 21, 2014",Live episode
98,LOL,Chelsea Peretti,"November 21, 2014",Live episode
99,A View to a Kill,Matt Gourley,"December 12, 2014",Live episode
99,A View to a Kill,Matt Mira,"December 12, 2014",Live episode
100,Junior,—,"December 26, 2014",
101,Xanadu,Michaela Watkins,"January 12, 2015",Live episode
102,Tango and Cash,Nick Kroll,"January 23, 2015",
103,Zardoz,Brett Gelman,"February 13, 2015",
104,Zardoz,June Diane Raphael,"February 25, 2015",
105,Safe Haven,Eliza Skinner,"March 6, 2015",
105,Safe Haven,Jordan Rubin,"March 6, 2015",
106,Deep Blue Sea,Paul F. Tompkins,"March 20, 2015",Live episode
106,Deep Blue Sea,Evan Goldberg,"March 20, 2015",Live episode
107,Lake Placid,Paul F. Tompkins,"April 3, 2015",Live episode
107,Lake Placid,Nate Cordry,"April 3, 2015",Live episode
108,Con Air,Seth Grahame-Smith,"April 17, 2015",Live episode
109,Face/Off,Randall Park,"May 1, 2015",Live episode
110,The Island of Dr. Moreau,Alex Fernie,"May 15, 2015",
111,Hercules in New York,Abbi Jacobson,"May 29, 2015",Live episode
112,Jupiter Ascending,Franklin Leonard,"June 12, 2015",
112,Jupiter Ascending,Razzle Dangerously,"June 12, 2015",
113,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Adam Pally,"June 26, 2015",Live episode
114,Runaway,Rhea Butcher,"July 10, 2015",
115,Sharknado 3: Oh Hell No!,Scott Aukerman,"July 28, 2015",
116,Top Dog,—,"August 10, 2015",Live episode
117,Theodore Rex,—,"August 21, 2015",Live episode
118,Furious 7,Adam Scott,"September 4, 2015",Live episode
119,Maximum Overdrive,Andy Daly,"September 18, 2015",Live episode
120,Masters of the Universe,Tatiana Maslany,"October 2, 2015",
121,Perfect,Seth Morris,"October 16, 2015",Live episode
